
------------------------------------------
          Información de la red         

Tipo de red (rango CIDR): 192.168.1.141/24
Nombre de la red: 192.168.1.0/24
Broadcast: 192.168.1.255
Máscara de subred: /24
------------------------------------------

La IP 192.168.1.1 está ocupada.
La IP 192.168.1.2 está libre.
La IP 192.168.1.3 está libre.
La IP 192.168.1.4 está libre.
La IP 192.168.1.5 está libre.
La IP 192.168.1.6 está libre.
La IP 192.168.1.7 está libre.
La IP 192.168.1.8 está libre.
La IP 192.168.1.9 está libre.
La IP 192.168.1.10 está libre.
La IP 192.168.1.11 está libre.
La IP 192.168.1.12 está libre.
La IP 192.168.1.13 está libre.
La IP 192.168.1.14 está libre.
La IP 192.168.1.15 está libre.
La IP 192.168.1.16 está libre.
La IP 192.168.1.17 está libre.
La IP 192.168.1.18 está libre.
La IP 192.168.1.19 está libre.
La IP 192.168.1.20 está libre.
La IP 192.168.1.21 está libre.
La IP 192.168.1.22 está libre.
La IP 192.168.1.23 está libre.
La IP 192.168.1.24 está libre.
La IP 192.168.1.25 está libre.
La IP 192.168.1.26 está libre.
La IP 192.168.1.27 está libre.
La IP 192.168.1.28 está libre.
La IP 192.168.1.29 está libre.
La IP 192.168.1.30 está libre.
La IP 192.168.1.31 está libre.
La IP 192.168.1.32 está libre.
La IP 192.168.1.33 está libre.
La IP 192.168.1.34 está libre.
La IP 192.168.1.35 está libre.
La IP 192.168.1.36 está libre.
La IP 192.168.1.37 está libre.
La IP 192.168.1.38 está libre.
La IP 192.168.1.39 está libre.
La IP 192.168.1.40 está libre.
La IP 192.168.1.41 está libre.
La IP 192.168.1.42 está libre.
La IP 192.168.1.43 está libre.
La IP 192.168.1.44 está libre.
La IP 192.168.1.45 está libre.
La IP 192.168.1.46 está libre.
La IP 192.168.1.47 está libre.
La IP 192.168.1.48 está libre.
La IP 192.168.1.49 está libre.
La IP 192.168.1.50 está libre.
La IP 192.168.1.51 está libre.
La IP 192.168.1.52 está libre.
La IP 192.168.1.53 está libre.
La IP 192.168.1.54 está libre.
La IP 192.168.1.55 está libre.
La IP 192.168.1.56 está libre.
La IP 192.168.1.57 está libre.
La IP 192.168.1.58 está libre.
La IP 192.168.1.59 está libre.
La IP 192.168.1.60 está libre.
La IP 192.168.1.61 está libre.
La IP 192.168.1.62 está libre.
La IP 192.168.1.63 está libre.
La IP 192.168.1.64 está libre.
La IP 192.168.1.65 está libre.
La IP 192.168.1.66 está libre.
La IP 192.168.1.67 está libre.
La IP 192.168.1.68 está libre.
La IP 192.168.1.69 está libre.
La IP 192.168.1.70 está libre.
La IP 192.168.1.71 está libre.
La IP 192.168.1.72 está libre.
La IP 192.168.1.73 está libre.
La IP 192.168.1.74 está libre.
La IP 192.168.1.75 está libre.
La IP 192.168.1.76 está libre.
La IP 192.168.1.77 está libre.
La IP 192.168.1.78 está libre.
La IP 192.168.1.79 está libre.
La IP 192.168.1.80 está libre.
La IP 192.168.1.81 está libre.
La IP 192.168.1.82 está libre.
La IP 192.168.1.83 está libre.
La IP 192.168.1.84 está libre.
La IP 192.168.1.85 está libre.
La IP 192.168.1.86 está libre.
La IP 192.168.1.87 está libre.
La IP 192.168.1.88 está libre.
La IP 192.168.1.89 está libre.
La IP 192.168.1.90 está libre.
La IP 192.168.1.91 está libre.
La IP 192.168.1.92 está libre.
La IP 192.168.1.93 está libre.
La IP 192.168.1.94 está libre.
La IP 192.168.1.95 está libre.
La IP 192.168.1.96 está libre.
La IP 192.168.1.97 está libre.
La IP 192.168.1.98 está libre.
La IP 192.168.1.99 está libre.
La IP 192.168.1.100 está libre.
La IP 192.168.1.101 está libre.
La IP 192.168.1.102 está libre.
La IP 192.168.1.103 está libre.
La IP 192.168.1.104 está libre.
La IP 192.168.1.105 está libre.
La IP 192.168.1.106 está libre.
La IP 192.168.1.107 está libre.
La IP 192.168.1.108 está libre.
La IP 192.168.1.109 está libre.
La IP 192.168.1.110 está libre.
La IP 192.168.1.111 está libre.
La IP 192.168.1.112 está libre.
La IP 192.168.1.113 está libre.
La IP 192.168.1.114 está libre.
La IP 192.168.1.115 está libre.
La IP 192.168.1.116 está libre.
La IP 192.168.1.117 está libre.
La IP 192.168.1.118 está libre.
La IP 192.168.1.119 está libre.
La IP 192.168.1.120 está libre.
La IP 192.168.1.121 está libre.
La IP 192.168.1.122 está libre.
La IP 192.168.1.123 está libre.
La IP 192.168.1.124 está libre.
La IP 192.168.1.125 está libre.
La IP 192.168.1.126 está libre.
La IP 192.168.1.127 está libre.
La IP 192.168.1.128 está libre.
La IP 192.168.1.129 está ocupada.
La IP 192.168.1.130 está ocupada.
La IP 192.168.1.131 está ocupada.
La IP 192.168.1.132 está libre.
La IP 192.168.1.133 está libre.
La IP 192.168.1.134 está ocupada.
La IP 192.168.1.135 está ocupada.
La IP 192.168.1.136 está libre.
La IP 192.168.1.137 está libre.
La IP 192.168.1.138 está libre.
La IP 192.168.1.139 está libre.
La IP 192.168.1.140 está libre.
La IP 192.168.1.141 está ocupada.
La IP 192.168.1.142 está libre.
La IP 192.168.1.143 está libre.
